0:0:0:0:0:0:0:1 - - [25/Dec/2023:07:44:22 +0000] "GET /springTomcat/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [25/Dec/2023:07:44:31 +0000] "GET /springTomcat/greeting HTTP/1.1" 200 29
198.199.119.8 - - [25/Dec/2023:08:01:23 +0000] "GET /hudson HTTP/1.1" 404 758
209.141.33.164 - - [25/Dec/2023:08:08:01 +0000] "GET /manager/html HTTP/1.1" 401 670
94.103.124.216 - - [25/Dec/2023:08:08:16 +0000] "CONNECT google.com:443 HTTP/1.1" 400 796
209.141.33.164 - - [25/Dec/2023:08:10:30 +0000] "GET /is_test HTTP/1.1" 404 759
209.141.33.164 - - [25/Dec/2023:08:16:48 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:49 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:49 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:49 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:49 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:49 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:49 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:49 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:49 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:50 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:50 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:50 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:50 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:50 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:50 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:50 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:50 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:51 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:51 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:51 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:51 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:51 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:51 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:51 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:51 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:52 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:52 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:52 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:52 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:52 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:52 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:52 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:52 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:53 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:53 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:53 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:53 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:53 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:53 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:53 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:53 +0000] "GET /manager/html HTTP/1.1" 503 -
209.141.33.164 - - [25/Dec/2023:08:16:54 +0000] "GET /manager/html HTTP/1.1" 503 -
84.54.51.116 - - [25/Dec/2023:08:55:39 +0000] "CONNECT google.com:443 HTTP/1.1" 400 796
139.59.101.104 - - [25/Dec/2023:09:50:53 +0000] "GET /cdn-cgi/trace HTTP/1.1" 404 769
